Input;;;;;;;output;;;;;;;
File di input;Perc. Q.tà hub per gravità;Perc. Q.tà disponibile;Perc. Rimanenza;Q.tà disponibile;Spreco;Rimanenza;File di output;Num. Mezzi ;Funzione obiettivo;Efficacia Ae norm;Costi Kv norm;Efficacia Ae non norm;Costi Kv non norm;Tempo di esecuzione
I_reale_5_2.txt;reale;5%;2%;151511;298;3030;O_reale_5_2.txt;4;213.449;5.30E-05;0.288613;12.7834;533.506;5.49908
I_reale_5_5.txt;reale;5%;5%;151511;298;7575;O_reale_5_5.txt;4;237.713;5.30E-05;0.30048;12.7834;594.166;5.02807
I_reale_5_10.txt;reale;5%;10%;151511;298;15151;O_reale_5_10.txt;4;229.149;5.30E-05;0.297944;12.7834;572.754;4.25702
I_reale_10_2.txt;reale;10%;2%;143537;283;2870;O_reale_10_2.txt;4;235.031;4.76E-05;0.306373;11.4752;587.446;3.97612
I_reale_10_5.txt;reale;10%;5%;143537;283;7176;O_reale_10_5.txt;4;232.641;4.76E-05;0.30202;11.4752;581.472;4.26361
I_reale_10_10.txt;reale;10%;10%;143537;3014;14353;O_reale_10_10.txt;4;224.295;4.76E-05;0.293897;11.4752;560.607;4.00642
I_reale_20_2.txt;reale;20%;2%;127588;2679;2551;O_reale_20_2.txt;4;235.471;3.77E-05;0.303553;9.09399;588.514;3.70857
I_reale_20_5.txt;reale;20%;5%;127588;2679;6379;O_reale_20_5.txt;4;251.212;3.77E-05;0.324075;9.09399;627.865;3.67081
I_reale_20_10.txt;reale;20%;10%;127588;2679;12758;O_reale_20_10.txt;4;229.881;3.77E-05;0.299299;9.09399;574.537;3.53059
I_25_25_25_25_1_5_2_.txt;25%25%25%25%;5%;2%;151511;3182;3030;O_25_25_25_25_1_5_2_.txt;4;227.901;6.16E-05;0.300844;11.4982;569.622;4.35154
I_25_25_25_25_1_5_5_.txt;25%25%25%25%;5%;5%;151511;3182;7575;O_25_25_25_25_1_5_5_.txt;4;224.701;6.16E-05;0.292494;11.4982;561.621;4.31087
I_25_25_25_25_1_5_10_.txt;25%25%25%25%;5%;10%;151511;3182;15151;O_25_25_25_25_1_5_10_.txt;4;247.01;6.16E-05;0.317401;11.4982;617.395;4.25575
I_25_25_25_25_1_10_2_.txt;25%25%25%25%;10%;2%;143537;3014;2870;O_25_25_25_25_1_10_2_.txt;4;242.931;5.39E-05;0.32446;10.0633;607.18;4.03897
I_25_25_25_25_1_10_5_.txt;25%25%25%25%;10%;5%;143537;3014;7176;O_25_25_25_25_1_10_5_.txt;4;223.243;5.39E-05;0.291291;10.0633;557.959;4.09658
I_25_25_25_25_1_10_10_.txt;25%25%25%25%;10%;10%;143537;3014;14353;O_25_25_25_25_1_10_10_.txt;4;231.49;5.39E-05;0.300455;10.0633;578.577;4.08228
